username,timestamp,scenario_id,total_score,clarity_score,specificity_score,structure_score,task_alignment_score,skill_level,total_attempts,cumulative_score,avg_score,badges_count,badges,user_prompt,strengths,improvements,feedback_summary
Vic,2025-09-30T13:26:40.081775,b3,67,22,10,23,12,beginner,1,67,67.0,0,,,Clearly states the desired output format (single PPT slide template).; Specifies the exact number of main bullet points (3).; Identifies the target audience and purpose (team meeting).; Concise and easy to understand at a high level.,"Provide the actual 'three key updates about the new project's progress' as bullet points, as implied by the scenario's goal.; Specify a desired title for the slide.; Include details about the desired template style or design (e.g., modern, minimalist, professional, specific color scheme, company branding guidelines).; Clarify if the output should be a truly empty template with placeholders, or a slide filled with the provided content (which would then require the content).; Suggest any preferred layout elements (e.g., image placeholder, logo, specific font styles).",The prompt is clear in its basic request for a single PowerPoint slide template with three main bull...
airees,2025-09-30T10:41:27.536280,b1,89,22,20,23,24,advanced,9,786,87.33,1,Consistent Performer,,Clear statement of the problem and desired outcome.; Provides sufficient context for the task.,Consider specifying the desired length or format of the summary.; Could add a constraint on the maximum number of action items to extract.,The prompt is well-written and clearly states the user's need. It provides sufficient context (out o...
airees,2025-09-30T11:42:39.939033,b3,70,18,15,17,20,advanced,9,786,87.33,1,Consistent Performer,,Clear goal; Good task alignment,Add context about recent discussions; Specify desired agenda format,"The prompt is generally clear about the desired outcome (a meeting agenda). However, it lacks specif..."
airees,2025-09-30T13:21:34.075987,b3,83,23,15,20,25,advanced,9,786,87.33,1,Consistent Performer,,"Clear Objective: The prompt clearly states the main goal: to generate a PowerPoint presentation.; Good Structural Constraints: Specifies 'each slide must contain only one major section' and 'key points in bullet format,' which are excellent guidelines for presentation structure.; Contextual Alignment: Directly addresses the scenario's need for a quick draft for a team sync, implying efficiency and direct conversion from an outline.; Conditional Graphics: Provides a sensible rule for when to include graphics, preventing unnecessary visual clutter.","Provide the Outline: The most crucial improvement is to include the actual 'notes and and outline' that the presentation should be based on. Without this, the AI cannot complete the core task. This could be done by appending the outline directly to the prompt or clearly stating where it will be provided (e.g., 'The outline will follow this prompt in a separate message').; Specify Text Formatting: 'Necessary text formatting' is vague. Provide examples or specific requirements (e.g., 'Use clear headings for sections, bold key terms, ensure font size is readable for a presentation').; Clarify 'Major Section': While generally understood, for complex outlines, it might be helpful to define what constitutes a 'major section' from the user's perspective (e.g., 'Each top-level heading in my outline should be a major section').; Guidance on Graphics: While the condition is good, 'emphasis on the subject matter' is subjective. Consider adding guidance on the *type* of graphics (e.g., 'simple icons, relevant charts, or stock photos related to the topic') or suggesting the AI ask for clarification if unsure.",The prompt clearly articulates the desired output (PowerPoint presentation) and several key formatti...
airees,2025-09-30T13:55:19.421665,b3,80,23,12,20,25,advanced,9,786,87.33,1,Consistent Performer,I have a 1-hour weekly sync meeting about the status of our project. Create a meeting agenda based on the recent discussions we had in our group chat. Include Key Points that will be highlighted in the meeting and what expected outcome/s after the meeting.,Clear and concise objective (create a meeting agenda).; Specifies meeting duration (1 hour) and frequency (weekly sync).; Clearly defines required elements: Key Points and Expected Outcomes.; Perfectly aligns with the provided scenario and goal.,"Provide the actual 'recent discussions' or a summary of key topics from the group chat to enable the AI to create a truly relevant and specific agenda.; Optionally, include the project name or type (e.g., 'Alpha Project,' 'Marketing Campaign Launch') for better context.; Optionally, mention specific challenges, blockers, or successes discussed in the chat that should be addressed.",The prompt is very clear about its objective: creating a meeting agenda for a 1-hour weekly project ...
airees,2025-09-30T14:09:11.049579,b2,82,20,15,22,25,advanced,9,786,87.33,1,Consistent Performer,"Apply consistent professional formatting to this report: use Arial 11pt for body text, Arial 14pt bold for headings, 1.15 line spacing, and ensure uniform margins","Clearly specifies font, size, and style for body text and main headings.; Clearly specifies line spacing.; Directly addresses the core inconsistencies mentioned in the context (fonts, spacing, heading styles).; Concise and easy to understand.","Specify a concrete value for 'uniform margins' (e.g., '1-inch margins all around').; Provide formatting guidelines for different heading levels (e.g., H1, H2, H3, etc.).; Include instructions for other common report elements such as bullet points, numbered lists, tables, figures, page numbering, and headers/footers.; Consider adding guidance for a table of contents or cover page if relevant to the 'professional report' context.","The prompt is very clear in its instructions for body text font, size, heading style, and line spaci..."
airees,2025-09-30T14:18:39.586134,b3,95,25,20,25,25,advanced,9,786,87.33,1,Consistent Performer,"Generate a presentation outline for a 10-minute update on the 'Q3 Sales Performance' project, including sections for introduction, key achievements, challenges, and next steps.",Clearly defines the output type (presentation outline).; Specifies the exact project topic ('Q3 Sales Performance').; Sets a precise time constraint (10-minute update).; Explicitly lists all required sections for the outline.; Perfectly aligns with the scenario's goal of generating a basic outline and the context of a project update.,"Could optionally specify the target audience (e.g., 'for executive leadership' or 'for the project team') to help tailor the tone and level of detail.; Could optionally suggest the desired level of detail for each section (e.g., 'aim for 3-5 bullet points per main section') to further guide the output's depth.","This is an excellent prompt that is very clear, well-structured, and perfectly aligned with the scen..."
airees,2025-09-30T14:50:16.716654,b3,92,24,20,23,25,advanced,9,786,87.33,1,Consistent Performer,"Generate a presentation outline for a 10-minute update on the 'Q3 Sales Performance' project, including sections for introduction, key achievements, challenges, and next steps.","Clearly defines the core task: 'Generate a presentation outline'.; Specifies the exact duration: '10-minute update'.; Identifies the project name: 'Q3 Sales Performance'.; Explicitly lists required sections: 'introduction, key achievements, challenges, and next steps'.; Perfectly aligns with the scenario's goal and context.","Could include the target audience (e.g., 'for senior management', 'for the sales team') to tailor the tone and content.; Could specify the desired level of detail for the outline (e.g., 'include 2-3 bullet points for each section', 'suggest potential slide titles').; Could ask for specific types of data or metrics to be highlighted within sections (e.g., 'for achievements, mention top-performing products or regions').",The prompt is exceptionally clear and directly addresses the scenario's requirements. It specifies t...
airees,2025-09-30T16:21:38.242155,b1,98,25,23,25,25,advanced,9,786,87.33,1,Consistent Performer,Summarize the key decisions and action items from the Q4 marketing campaign email thread from the past week,Clearly states the objective: 'Summarize the key decisions and action items'.; Precisely identifies the source material: 'Q4 marketing campaign email thread'.; Specifies the relevant timeframe: 'from the past week'.; Directly addresses the user's scenario and pain point (catching up after OOO).; Concise and easy to understand.,"While strong, for an AI that might not implicitly know which 'thread' to access, adding a specific identifier like 'the thread with the subject line 'Q4 Marketing Campaign Update'' could make it even more robust, though the current prompt is sufficient given the Outlook context.; Optionally, the user could specify a desired output format (e.g., 'as bullet points', 'in a short paragraph') or a length constraint (e.g., 'under 100 words') for more control over the summary's presentation.",This is an exceptionally well-crafted prompt that perfectly aligns with the user's goal and context....
airees,2025-10-01T10:01:18.200331,b1,97,24,23,25,25,advanced,9,786,87.33,1,Consistent Performer,"Based on the email thread about the Q4 marketing campaign last week, create a bulleted summary highlighting the key decisions, insights and action items for each person involved in the campaign.  Make it concise. ","Clearly defines the source and scope of information ('email thread about the Q4 marketing campaign last week').; Explicitly specifies the exact content to extract ('key decisions, insights and action items').; Mandates a structured and easily digestible output format ('bulleted summary').; Requires organization by individual ('for each person involved'), which is highly practical for quick comprehension and action.; Explicitly asks for conciseness, aligning perfectly with the user's goal of quickly catching up.; Includes 'insights' which adds valuable contextual understanding beyond just actions and decisions.","Could optionally specify how to handle individuals with no identified decisions, insights, or action items (e.g., 'only include individuals with relevant items' or 'list all involved individuals even if they have no items').; Could specify the desired order of information within each person's section (e.g., 'decisions first, then insights, then action items').",This is an exceptionally well-crafted prompt for the given scenario. It clearly defines the source m...
